City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,pacific grove,36.6177,-121.9166,14.67,44,0,4.47,US,1675116710
294,hadejia,12.4498,10.0444,26.14,12,80,4.23,NG,1675116878
295,kodiak,57.79,-152.4072,4.73,93,100,4.63,US,1675116878
296,kavieng,-2.5744,150.7967,27.86,75,100,2.47,PG,1675116878
297,ornskoldsvik,63.2909,18.7153,-1.47,74,12,6.17,SE,1675116741
298,saurimo,-9.6608,20.3916,18.31,97,99,1.36,AO,1675116879
299,oktyabrskiy,54.4815,53.471,-6.43,90,100,6.46,RU,1675116879
300,at-bashi,41.1702,75.8106,-11.26,83,100,0.64,KG,1675116880
301,escuinapa,22.85,-105.8,29.42,36,3,4.11,MX,1675116880
302,katherine,-14.4667,132.2667,25.18,94,100,2.06,AU,1675116880
303,roald,62.5833,6.1333,3.75,75,75,6.17,NO,1675116881
304,kafanchan,9.5833,8.3,26.94,20,91,2.18,NG,1675116881
305,pimentel,-6.8367,-79.9342,27.16,57,75,6.69,PE,1675116882
306,tabas,33.5959,56.9244,11.69,61,100,1.36,IR,1675116882
307,mar del plata,-38.0023,-57.5575,24.35,87,0,6.71,AR,1675116882
308,dzaoudzi,-12.7887,45.2699,26.94,89,0,2.06,YT,1675116883
309,presidencia roque saenz pena,-26.7852,-60.4388,27.48,69,99,2.6,AR,1675116883
310,marsh harbour,26.5412,-77.0636,24.78,69,72,4.42,BS,1675116883
311,houma,29.5958,-90.7195,27.78,71,0,5.14,US,1675116878
312,escanaba,45.7453,-87.0646,-12.08,44,0,1.79,US,1675116884
313,alta floresta,-9.8756,-56.0861,23.43,95,95,1.15,BR,1675116884
314,jardim,-21.4803,-56.1381,28.8,59,98,2.67,BR,1675116884
315,porto nacional,-10.7081,-48.4172,29.0,73,56,1.11,BR,1675116885
316,victoria,22.2855,114.1577,16.64,67,45,5.81,HK,1675116885
317,chekhov,55.1431,37.4711,-2.03,92,100,5.96,RU,1675116886
318,bocas del toro,9.3333,-82.25,26.29,72,100,3.55,PA,1675116886
319,hue,16.4667,107.6,15.06,88,100,1.54,VN,1675116886
320,gimli,50.6336,-96.9907,-18.54,84,60,6.25,CA,1675116887
321,kobryn,52.2138,24.3564,0.59,94,100,7.3,BY,1675116887
322,rawson,-43.3002,-65.1023,16.97,71,83,11.99,AR,1675116661
